Name,Country,Domain,Web Page
Cégep de Saint-Jérôme,Canada,cstj.qc.ca,https://www.cstj.qc.ca
Lambton College,Canada,lambtoncollege.ca,https://www.lambtoncollege.ca
Acadia University,Canada,acadiau.ca,http://www.acadiau.ca/
Algonquin College,Canada,algonquincollege.com,http://www.algonquincollege.com/
Ashton College,Canada,ashtoncollege.com,http://www.ashtoncollege.com/
Assumption University,Canada,assumptionu.ca,http://www.assumptionu.ca/
Athabasca University,Canada,athabascau.ca,http://www.athabascau.ca/
Augustana University College,Canada,augustana.ab.ca,http://www.augustana.ab.ca/
British Columbia Institute of Technology,Canada,bcit.ca,http://www.bcit.ca/
British Columbia Open University,Canada,bcou.ca,http://www.bcou.ca/
William and Catherine Booth College,Canada,boothcollege.ca,http://www.boothcollege.ca/
Collège Boréal,Canada,borealc.on.ca,http://www.borealc.on.ca/
Bow Valley College,Canada,bowvalleycollege.ca,http://www.bowvalleycollege.ca/
Brandon University,Canada,brandonu.ca,http://www.brandonu.ca/
Brock University,Canada,brocku.ca,http://www.brocku.ca/
DeVry Institute of Technology,Canada,cal.devry.ca,http://www.cal.devry.ca/
Camosun College,Canada,camosun.bc.ca,http://www.camosun.bc.ca/
Capilano College,Canada,capcollege.bc.ca,http://www.capcollege.bc.ca/
University College of the Cariboo,Canada,cariboo.bc.ca,http://www.cariboo.bc.ca/
Carleton University,Canada,carleton.ca,http://www.carleton.ca/
Canadian College of Business & Computers,Canada,ccbc.ca,http://www.ccbc.ca/
Centennial College,Canada,centennialcollege.ca,http://www.centennialcollege.ca/
Canadian Mennonite University,Canada,cmu.ca,http://www.cmu.ca/
College of New Caledonia,Canada,cnc.bc.ca,http://www.cnc.bc.ca/
Columbia College,Canada,columbiacollege.ca,http://www.columbiacollege.ca/
Concordia University College of Alberta,Canada,concordia.ab.ca,http://www.concordia.ab.ca/
Concordia University,Canada,concordia.ca,http://www.concordia.ca/
Conestoga College,Canada,conestogac.on.ca,http://www.conestogac.on.ca/
College of the Rockies,Canada,cotr.bc.ca,http://www.cotr.bc.ca/
"University of Moncton, Shippagan",Canada,cus.ca,http://www.cus.ca/
"University of Moncton, Edmundston",Canada,cuslm.ca,http://www.cuslm.ca/
Dalhousie University,Canada,dal.ca,http://www.dal.ca/
Douglas College,Canada,douglas.bc.ca,http://www.douglas.bc.ca/
Durham College,Canada,dcmail.ca,https://durhamcollege.ca/
Emily Carr Institute of Art + Design,Canada,eciad.bc.ca,http://www.eciad.bc.ca/
